society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ad51,Ngulu,xd122,ngul1246,Ngulu,Atlantic-Congo,EA001,0,0-5%,1930,,
Ad6,Nyakyusa,xd123,nyak1261,Nyakyusa,Atlantic-Congo,EA001,0,0-5%,1930,Age villages of Mwaya and Masoko,
Ad7,Ganda,xd124,gand1255,Ganda,Atlantic-Congo,EA001,0,0-5%,1880,Kyaddondo district (V: Kampala),
Ad8,Hehe,xd125,hehe1240,Hehe,Atlantic-Congo,EA001,0,0-5%,1910,with special reference to the northern or Iringa group,
Ad9,Gisu,xd126,masa1299,Masaaba,Atlantic-Congo,EA001,0,0-5%,1900,,
Ae10,Banyaruanda,xd128,kiny1244,Kinyarwanda,Atlantic-Congo,EA001,0,0-5%,1910,,
Ae12,Duala,xd130,dual1243,Duala,Atlantic-Congo,EA001,0,0-5%,1940,,
Ae13,Bashi,xd131,shii1238,Shi,Atlantic-Congo,EA001,0,0-5%,1920,,
Ae14,Ha,xd132,haaa1252,Ha,Atlantic-Congo,EA001,0,0-5%,1950,,
Ae15,Hunde,xd133,hund1239,Hunde,Atlantic-Congo,EA001,0,0-5%,1940,,
Ae16,Lulua,xd134,luba1249,Luba-Lulua,Atlantic-Congo,EA001,0,0-5%,1910,,
Ae17,Rega,xd135,lega1249,Lega-Shabunda,Atlantic-Congo,EA001,0,0-5%,1900,,
Ae18,Songye,xd136,song1303,Songe,Atlantic-Congo,EA001,0,0-5%,1900,,
Ae19,Garanganze,xd137,sang1331,Sanga (Democratic Republic of Congo),Atlantic-Congo,EA001,0,0-5%,1930,,
Ae2,Kpe,xd138,mokp1239,Mokpwe,Atlantic-Congo,EA001,0,0-5%,1950,,
Ae20,Ekonda,xd139,ekon1238,Ekonda Mongo,Atlantic-Congo,EA001,0,0-5%,1940,,
Ae21,Kela,xd140,yela1238,Yela-Kela,Atlantic-Congo,EA001,0,0-5%,1920,,
Ae22,Kutsu,xd141,kusu1252,Kusu,Atlantic-Congo,EA001,0,0-5%,1900,with special reference to the Bankutu,
Ae23,Lalia,xd142,ngan1302,Ngando-Lalia,Atlantic-Congo,EA001,0,0-5%,1930,,
Ae25,Tetela,xd144,tete1250,Tetela,Atlantic-Congo,EA001,0,0-5%,1920,with special reference to the northern Tetela,
Ae26,Topoke,xd145,poke1238,Poke,Atlantic-Congo,EA001,0,0-5%,1910,,
Ae27,Lokele,xd146,kele1255,Kele-Foma,Atlantic-Congo,EA001,0,0-5%,1910,"The Smith reference describes a Protestant Mission near Stanley Falls, Upper Congo",
Ae28,Ngala,xd147,ling1263,Lingala,Atlantic-Congo,EA001,0,0-5%,1900,,
Ae29,Poto,xd148,luse1252,Lusengo,Atlantic-Congo,EA001,0,0-5%,1900,,
Ae30,Bira,xd150,bila1255,Bila,Atlantic-Congo,EA001,0,0-5%,1920,,
Ae31,Budu,xd151,budu1250,Budu,Atlantic-Congo,EA001,0,0-5%,1920,,
Ae32,Kumu,xd152,komo1260,Komo (Democratic Republic of Congo),Atlantic-Congo,EA001,0,0-5%,1920,,
Ae33,Ndaka Babali,xd153,bali1274,Bali (Democratic Republic of Congo),Atlantic-Congo,EA001,0,0-5%,1920,,
Ae34,Plains Bira,xd154,bera1259,Bera,Atlantic-Congo,EA001,0,0-5%,1920,,
Ae35,Rumbi,xd155,lomb1254,Lombi,Central Sudanic,EA001,0,0-5%,1900,,
Ae36,Bombesa,xd156,mbes1238,Mbesa,Atlantic-Congo,EA001,0,0-5%,1920,,
Ae37,Budja,xd157,budz1238,Budza,Atlantic-Congo,EA001,0,0-5%,1930,,
Ae38,Ndoko,xd158,doko1244,Doko (Democratic Republic of Congo),Atlantic-Congo,EA001,0,0-5%,1920,,
Ae39,Ngombe,xd159,binj1250,Binja,Atlantic-Congo,EA001,0,0-5%,1920,,
Ae40,Dzem,xd161,njye1238,Njyem,Atlantic-Congo,EA001,0,0-5%,1910,,
Ae42,Ngumba,xd163,kwas1243,Kwasio,Atlantic-Congo,EA001,0,0-5%,1900,,
Ae43,Sanga,xd164,bomw1238,Bomwali,Atlantic-Congo,EA001,0,0-5%,1900,,
Ae44,Bubi,xd165,bube1242,Bube,Atlantic-Congo,EA001,0,0-5%,1920,,
Ae45,Kundu,xd166,orok1266,Oroko,Atlantic-Congo,EA001,0,0-5%,1900,,
Ae46,Mpongwe,xd167,myen1241,Myene,Atlantic-Congo,EA001,0,0-5%,1870,,
Ae47,Puku,xd168,bata1285,Batanga,Atlantic-Congo,EA001,0,0-5%,1900,,
Ae48,Bafia,xd169,bafi1243,Bafia,Atlantic-Congo,EA001,0,0-5%,1930,,
Ae49,Bali Nyonga,xd170,mung1266,Mungaka,Atlantic-Congo,EA001,0,0-5%,1900,,
Ae5,Bamileke,xd171,fefe1239,Fe'fe',Atlantic-Congo,EA001,0,0-5%,1910,,
Ae50,Bamum,xd172,bamu1253,Bamun,Atlantic-Congo,EA001,0,0-5%,1920,,
Ae52,Fungom,xd174,mmen1238,Mmen,Atlantic-Congo,EA001,0,0-5%,1950,,
Ae53,Koko,xd175,bako1249,Bakoko,Atlantic-Congo,EA001,0,0-5%,1920,,
Ae54,Kom,xd176,komc1235,Kom (Cameroon),Atlantic-Congo,EA001,0,0-5%,1950,,
Ae55,Ndob,xd177,band1349,Bandobo,Atlantic-Congo,EA001,0,0-5%,1950,,
Ae56,Nsaw,xd178,lamn1239,Lamnso',Atlantic-Congo,EA001,0,0-5%,1950,,
Ae57,Nsungli,xd179,limb1268,Limbum,Atlantic-Congo,EA001,0,0-5%,1930,,
Ae58,Tikar,xd180,tige1238,Tige,Atlantic-Congo,EA001,0,0-5%,1910,,
Ae59,Widikum,xd181,meta1238,Meta',Atlantic-Congo,EA001,0,0-5%,1950,with special reference to the Ngie subtribe,
Ae7,Baboa,xd183,bwaa1238,Bwa,Atlantic-Congo,EA001,0,0-5%,1910,,
Ae8,Rundi,xd184,rund1242,Rundi,Atlantic-Congo,EA001,0,0-5%,1910,,
Ae9,Fut,xd185,bafu1246,Bafut,Atlantic-Congo,EA001,0,0-5%,1950,,
Af1,Fon,xd186,fonn1241,Fon,Atlantic-Congo,EA001,0,0-5%,1890,City and environs of Abomey,
Af10,Igbo,xd187,nucl1417,Igbo,Atlantic-Congo,EA001,0,0-5%,1930,,
Af11,Toma,xd188,toma1245,Toma,Mande,EA001,0,0-5%,1920,,
Af12,Akyem,xd189,akye1239,Akyem Bosome,Atlantic-Congo,EA001,0,0-5%,1930,with special reference to the Kwahu,
Af16,Banyang,xd193,keny1279,Kenyang,Atlantic-Congo,EA001,0,0-5%,1910,,
Af17,Boki,xd194,boky1238,Bokyi,Atlantic-Congo,EA001,0,0-5%,1900,,
Af18,Ekoi,xd195,ejag1239,Ejagham,Atlantic-Congo,EA001,0,0-5%,1900,,
Af19,Efik,xd196,efik1245,Efik,Atlantic-Congo,EA001,0,0-5%,1950,,
Af2,Kissi,xd197,nort2765,Northern Kissi,Atlantic-Congo,EA001,0,0-5%,1950,,
Af20,Ibibio,xd198,ibib1240,Ibibio,Atlantic-Congo,EA001,0,0-5%,1910,,
Af21,Ijaw,xd199,kala1381,Kalabari,Ijoid,EA001,0,0-5%,1920,with special reference to the Kalabari,
Af26,Kukuruku,xd204,yekh1238,Yekhee,Atlantic-Congo,EA001,0,0-5%,1900,with special reference to the Etsako,
Af27,Eloyi,xd205,eloy1241,Eloyi,Atlantic-Congo,EA001,0,0-5%,1950,,
Af29,Idoma,xd207,idom1241,Idoma,Atlantic-Congo,EA001,0,0-5%,1950,,
Af3,Ashanti,xd208,asan1239,Asante,Atlantic-Congo,EA001,0,0-5%,1900,Kumasi State,
Af30,Igala,xd209,igal1242,Igala,Atlantic-Congo,EA001,0,0-5%,1920,,
Af31,Koro,xd210,ashe1269,Ashe,Atlantic-Congo,EA001,0,0-5%,1960,with special reference to the Lafia,
Af32,Egba,xd211,egba1238,Egba,Atlantic-Congo,EA001,0,0-5%,1920,Abeouta Province and Benin,
Af33,Ekiti,xd212,ekit1244,Ekiti,Atlantic-Congo,EA001,0,0-5%,1950,"Ekiti Division, Ondo Prov.",
Af34,Ife,xd213,ifee1241,Ifè,Atlantic-Congo,EA001,0,0-5%,1930,"Ife Ilesha Division, Oyo Prov.",
Af35,Adangme,xd214,adan1247,Adangme,Atlantic-Congo,EA001,0,0-5%,1940,with special reference to the Krobo,
Af36,Ewe,xd215,aguu1242,Agu (Ewe),Atlantic-Congo,EA001,0,0-5%,1900,with special reference to the Glidyi,
Af37,Buem,xd216,siwu1238,Siwu,Atlantic-Congo,EA001,0,0-5%,1900,with special reference to the Akpafu,
Af38,Abron,xd217,abro1238,Abron,Atlantic-Congo,EA001,0,0-5%,1900,,
Af39,Anyi,xd218,anyi1245,Anyin,Atlantic-Congo,EA001,0,0-5%,1900,with special reference to the Ndenie,
Af40,Assini,xd220,abur1243,Abure,Atlantic-Congo,EA001,0,0-5%,1890,"with special reference to the Abure (Akapless, Asoko, Esuma)",
Af41,Attie,xd221,atti1239,Attié,Atlantic-Congo,EA001,0,0-5%,1890,,
Af42,Fante,xd222,fant1241,Fante,Atlantic-Congo,EA001,0,0-5%,1900,,
Af43,Ga,xd223,gaaa1244,Ga,Atlantic-Congo,EA001,0,0-5%,1930,,
Af44,Alagya,xd224,alla1248,Alladian,Atlantic-Congo,EA001,0,0-5%,1900,,
Af45,Avikam,xd225,avik1243,Avikam,Atlantic-Congo,EA001,0,0-5%,1900,,
Af46,Bakwe,xd226,bakw1243,Bakwé,Atlantic-Congo,EA001,0,0-5%,1900,,
Af47,Krahn,xd227,west2488,Western Krahn,Atlantic-Congo,EA001,0,0-5%,1940,,
Af48,Kru,xd228,klao1243,Klao,Atlantic-Congo,EA001,0,0-5%,1850,,
Af49,Sapo,xd229,sapo1251,Sapo,Atlantic-Congo,EA001,0,0-5%,1940,,
Af54,Gbande,xd235,band1352,Bandi,Mande,EA001,0,0-5%,1930,,
Af55,Gola,xd236,gola1255,Gola,Atlantic-Congo,EA001,0,0-5%,1950,,
Af56,Ngere,xd237,dann1241,Dan,Mande,EA001,0,0-5%,1930,with special reference to the Gio of the Ivory Coast,
Af57,Temne,xd238,timn1235,Timne,Atlantic-Congo,EA001,0,0-5%,1910,,
Af6,Oyo Yoruba,xd240,ilaa1245,Ila (Yoruba),Atlantic-Congo,EA001,0,0-5%,1950,"Yoruba, with special reference to the Oyo",
Af7,Bete,xd241,dalo1238,Daloa Bété,Atlantic-Congo,EA001,0,0-5%,1950,,
Af9,Baule,xd243,baou1238,Baoulé,Atlantic-Congo,EA001,0,0-5%,1900,,
Ag12,Nankanse,xd247,nank1249,Nankana,Atlantic-Congo,EA001,0,0-5%,1910,,
Ag15,Balanta,xd250,bala1301,Balanta-Kentohe,Atlantic-Congo,EA001,0,0-5%,1930,,
Ag16,Banyun,xd251,bain1259,Bainounk-Gujaher,Atlantic-Congo,EA001,0,0-5%,1930,,
Ag20,Papel,xd256,pape1239,Papel,Atlantic-Congo,EA001,0,0-5%,1930,,
Ag24,Koranko,xd260,kura1250,Kuranko,Mande,EA001,0,0-5%,1910,,
Ag26,Susu,xd262,susu1250,Susu,Mande,EA001,0,0-5%,1930,,
Ag30,Bobo,xd267,nort2819,Northern Bobo Madaré,Mande,EA001,0,0-5%,1910,,
Ag37,Awuna,xd274,awun1244,Awuna,Atlantic-Congo,EA001,0,0-5%,1910,,
Ag38,Builsa,xd275,buli1254,Buli (Ghana),Atlantic-Congo,EA001,0,0-5%,1910,,
Ag39,Dagara,xd276,sout2789,Central Dagaare,Atlantic-Congo,EA001,0,0-5%,1910,,
Ag40,Isala,xd278,tumu1242,Tumulung Sisaala,Atlantic-Congo,EA001,0,0-5%,1910,,
Ag41,Kusasi,xd279,kusa1250,Kusaal,Atlantic-Congo,EA001,0,0-5%,1920,,
Ag43,Vagala,xd281,vagl1239,Vagla,Atlantic-Congo,EA001,0,0-5%,1920,,
Ag44,Dagomba,xd282,dagb1246,Dagbani,Atlantic-Congo,EA001,0,0-5%,1910,,
Ag45,Gurma,xd283,gour1243,Gourmanchéma,Atlantic-Congo,EA001,0,0-5%,1930,with special reference to those in the Diapaga region,
Ag46,Manprusi,xd284,mamp1244,Mampruli,Atlantic-Congo,EA001,0,0-5%,1920,,
Ag48,Basari,xd286,ntch1242,Ntcham,Atlantic-Congo,EA001,0,0-5%,1890,,
Ag49,Kabre,xd287,kabi1261,Kabiyé,Atlantic-Congo,EA001,0,0-5%,1930,,
Ag50,Moba,xd289,moba1244,Moba,Atlantic-Congo,EA001,0,0-5%,1910,,
Ag51,Somba,xd290,dita1238,Ditammari,Atlantic-Congo,EA001,0,0-5%,1940,,
Ag52,Tem,xd291,temm1241,Tem,Atlantic-Congo,EA001,0,0-5%,1950,,
Ag54,Yalunka,xd293,yalu1240,Yalunka,Mande,EA001,0,0-5%,1910,,
Ag6,Futajalonke,xd294,pula1262,Pular,Atlantic-Congo,EA001,0,0-5%,1890,,
Ah10,Chawai,xd299,atsa1241,Atsam,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah11,Basa,xd300,basa1282,Basa (Nigeria),Atlantic-Congo,EA001,0,0-5%,1950,,
Ah12,Basakomo,xd301,basa1282,Basa (Nigeria),Atlantic-Congo,EA001,0,0-5%,1920,,
Ah14,Kamuku,xd303,cind1241,Yara,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah15,Reshe,xd304,resh1242,Reshe,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah19,Adara,xd308,kada1284,Kadara,Atlantic-Congo,EA001,0,0-5%,1930,,
Ah2,Jukun,xd309,juku1254,Jukun Takum,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah20,Kagoro,xd310,kago1246,Kagoro (Nigeria),Atlantic-Congo,EA001,0,0-5%,1920,,
Ah22,Yergum,xd312,taro1263,Tarok,Atlantic-Congo,EA001,0,0-5%,1900,,
Ah23,Jibu,xd313,jibu1239,Jibu,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah24,Kentu,xd314,etky1238,Etkywan,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah25,Tigon,xd315,tigo1236,Tigon Mbembe,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah26,Ndoro,xd316,ndoo1241,Ndoola,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah27,Zuande,xd317,bita1251,Bitare,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah28,Chamba,xd318,samb1305,Samba Leko,Atlantic-Congo,EA001,0,0-5%,1920,with special reference to the Lekon subtribe,
Ah29,Daka,xd319,samb1311,Samba Daka,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah30,Longuda,xd321,long1389,Longuda,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah31,Mumuye,xd322,nucl1240,Mumuye,Atlantic-Congo,EA001,0,0-5%,1910,,
Ah32,Vere,xd323,momj1237,Mom Jango,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah33,Yungur,xd324,bena1260,Bena (Nigeria),Atlantic-Congo,EA001,0,0-5%,1920,,
Ah34,Bata,xd325,bata1314,Bata,Afro-Asiatic,EA001,0,0-5%,1920,with special reference to the Malabu,
Ah35,Bura,xd326,bura1292,Bura-Pabir,Afro-Asiatic,EA001,0,0-5%,1920,,
Ah36,Gude,xd327,gude1246,Gude,Afro-Asiatic,EA001,0,0-5%,1920,,
Ah37,Hwana,xd328,hwan1240,Hwana,Afro-Asiatic,EA001,0,0-5%,1920,,
Ah38,Kapsiki,xd329,psik1239,Psikye,Afro-Asiatic,EA001,0,0-5%,1930,,
Ah39,Podokwo,xd330,park1239,Parkwa,Afro-Asiatic,EA001,0,0-5%,1950,,
Ah4,Mambila,xd331,came1252,Donga Mambila,Atlantic-Congo,EA001,0,0-5%,1920,,
Ah5,Margi,xd332,marg1265,Marghi Central,Afro-Asiatic,EA001,0,0-5%,1930,,
Ah7,Mafa,xd334,mafa1239,Mafa,Afro-Asiatic,EA001,0,0-5%,1940,,
Ai1,Banda,xd337,west2458,West Central Banda,Atlantic-Congo,EA001,0,0-5%,1920,,
Ai10,Otoro,xd338,otor1240,Otoro,Heibanic,EA001,0,0-5%,1940,Nuba Hills,
Ai11,Mangbetu,xd339,nucl1420,Nuclear Mangbetu,Central Sudanic,EA001,0,0-5%,1900,,
Ai13,Laka,xd341,laka1254,Laka (Chad),Central Sudanic,EA001,0,0-5%,1920,,
Ai14,Mbum,xd342,mbum1254,Mbum,Atlantic-Congo,EA001,0,0-5%,1920,,
Ai15,Mundang,xd343,mund1325,Mundang,Atlantic-Congo,EA001,0,0-5%,1900,,
Ai16,Namshi,xd344,doya1240,Doyayo,Atlantic-Congo,EA001,0,0-5%,1910,,
Ai17,Gisiga,xd345,sout3051,South Giziga,Afro-Asiatic,EA001,0,0-5%,1930,,
Ai18,Kotoko,xd346,lagw1237,Lagwan,Afro-Asiatic,EA001,0,0-5%,1880,,
Ai19,Musgu,xd347,musg1254,Musgu,Afro-Asiatic,EA001,0,0-5%,1910,,
Ai2,Nyaro,xd348,kooo1244,Ko,Heibanic,EA001,0,0-5%,1940,,
Ai20,Tupuri,xd349,tupu1244,Tupuri,Atlantic-Congo,EA001,0,0-5%,1910,,
Ai22,Sara,xd351,sarr1246,Sar,Central Sudanic,EA001,0,0-5%,1890,,
Ai23,Bwaka,xd352,ngba1284,Ngbaka Ma'bo,Atlantic-Congo,EA001,0,0-5%,1920,,
Ai24,Mandja,xd353,manz1243,Manza,Atlantic-Congo,EA001,0,0-5%,1900,,
Ai25,Mbandja,xd354,mban1263,Mbandja,Atlantic-Congo,EA001,0,0-5%,1950,,
Ai26,Ngbandi,xd355,nort2774,Northern Ngbandi,Atlantic-Congo,EA001,0,0-5%,1920,,
Ai27,Abarambo,xd356,bara1361,Barambu,Atlantic-Congo,EA001,0,0-5%,1890,,
Ai28,Popoi,xd357,popo1291,Popoi,Central Sudanic,EA001,0,0-5%,1910,,
Ai29,Lendu,xd358,lend1245,Lendu,Central Sudanic,EA001,0,0-5%,1920,,
Ai30,Lese,xd360,lese1243,Lese,Central Sudanic,EA001,0,0-5%,1920,,
Ai31,Logo,xd361,logo1259,Logo,Central Sudanic,EA001,0,0-5%,1920,,
Ai33,Madi,xd363,madi1260,Ma'di,Central Sudanic,EA001,0,0-5%,1940,,
Ai34,Moru,xd364,moru1253,Moru,Central Sudanic,EA001,0,0-5%,1880,,
